Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,James Harden (11735149),James Harden,11735149,PG/SG/G/UTIL,11900,CHI@HOU 12/01/2018 08:00PM ET,HOU,56.64
SF/PF,Kevin Durant (11735153),Kevin Durant,11735153,SF/PF/F/UTIL,10800,GS@DET 12/01/2018 07:00PM ET,GS,52.98
SF/PF,Kawhi Leonard (11735157),Kawhi Leonard,11735157,SF/PF/F/UTIL,9600,TOR@CLE 12/01/2018 08:00PM ET,TOR,45.16
C,Andre Drummond (11735161),Andre Drummond,11735161,C/UTIL,9400,GS@DET 12/01/2018 07:00PM ET,DET,47.60
PF/C,Blake Griffin (11735163),Blake Griffin,11735163,PF/C/F/UTIL,9300,GS@DET 12/01/2018 07:00PM ET,DET,46.88
C,Karl-Anthony Towns (11735167),Karl-Anthony Towns,11735167,C/UTIL,9200,BOS@MIN 12/01/2018 08:00PM ET,MIN,44.01
PG/SG,Stephen Curry (11735169),Stephen Curry,11735169,PG/SG/G/UTIL,9000,GS@DET 12/01/2018 07:00PM ET,GS,48.62
PG,John Wall (11735173),John Wall,11735173,PG/G/UTIL,8900,BKN@WAS 12/01/2018 07:00PM ET,WAS,42.66
PG/SG,Victor Oladipo (11735176),Victor Oladipo,11735176,PG/SG/G/UTIL,8800,IND@SAC 12/01/2018 10:00PM ET,IND,41.31
PG,Kyrie Irving (11735180),Kyrie Irving,11735180,PG/G/UTIL,8700,BOS@MIN 12/01/2018 08:00PM ET,BOS,42.69
PG,Kyle Lowry (11735183),Kyle Lowry,11735183,PG/G/UTIL,8400,TOR@CLE 12/01/2018 08:00PM ET,TOR,40.34
PG/SG,Zach LaVine (11735186),Zach LaVine,11735186,PG/SG/G/UTIL,8200,CHI@HOU 12/01/2018 08:00PM ET,CHI,40.68
PF/C,Kevin Love (11735190),Kevin Love,11735190,PF/C/F/UTIL,8000,TOR@CLE 12/01/2018 08:00PM ET,CLE,42.88
SG,Bradley Beal (11735194),Bradley Beal,11735194,SG/G/UTIL,8000,BKN@WAS 12/01/2018 07:00PM ET,WAS,37.83
PG,Chris Paul (11735197),Chris Paul,11735197,PG/G/UTIL,7900,CHI@HOU 12/01/2018 08:00PM ET,HOU,40.14
C,Clint Capela (11735200),Clint Capela,11735200,C/UTIL,7800,CHI@HOU 12/01/2018 08:00PM ET,HOU,40.67
PF/C,Domantas Sabonis (11735202),Domantas Sabonis,11735202,PF/C/F/UTIL,7600,IND@SAC 12/01/2018 10:00PM ET,IND,34.58
PG/SG,D'Angelo Russell (11735206),D'Angelo Russell,11735206,PG/SG/G/UTIL,7200,BKN@WAS 12/01/2018 07:00PM ET,BKN,34.67
SG,Klay Thompson (11735210),Klay Thompson,11735210,SG/G/UTIL,7100,GS@DET 12/01/2018 07:00PM ET,GS,33.74
PF/C,Draymond Green (11735213),Draymond Green,11735213,PF/C/F/UTIL,7000,GS@DET 12/01/2018 07:00PM ET,GS,31.12
PG,De'Aaron Fox (11735217),De'Aaron Fox,11735217,PG/G/UTIL,6900,IND@SAC 12/01/2018 10:00PM ET,SAC,36.73
SF/PF,Jabari Parker (11735220),Jabari Parker,11735220,SF/PF/F/UTIL,6800,CHI@HOU 12/01/2018 08:00PM ET,CHI,30.70
SF/PF,Jayson Tatum (11735224),Jayson Tatum,11735224,SF/PF/F/UTIL,6700,BOS@MIN 12/01/2018 08:00PM ET,BOS,30.52
SF/PF,Robert Covington (11735228),Robert Covington,11735228,SF/PF/F/UTIL,6500,BOS@MIN 12/01/2018 08:00PM ET,MIN,28.87
PF/C,Al Horford (11735232),Al Horford,11735232,PF/C/F/UTIL,6400,BOS@MIN 12/01/2018 08:00PM ET,BOS,29.96
PG/SG,Spencer Dinwiddie (11735236),Spencer Dinwiddie,11735236,PG/SG/G/UTIL,6300,BKN@WAS 12/01/2018 07:00PM ET,BKN,28.13
PF,Pascal Siakam (11735240),Pascal Siakam,11735240,PF/F/UTIL,6200,TOR@CLE 12/01/2018 08:00PM ET,TOR,29.77
SG/SF,Eric Gordon (11735243),Eric Gordon,11735243,SG/SF/F/G/UTIL,6100,CHI@HOU 12/01/2018 08:00PM ET,HOU,25.57
SF,Caris LeVert (11735250),Caris LeVert,11735250,SF/F/UTIL,6000,BKN@WAS 12/01/2018 07:00PM ET,BKN,32.04
PG,Jeff Teague (11735257),Jeff Teague,11735257,PG/G/UTIL,6000,BOS@MIN 12/01/2018 08:00PM ET,MIN,29.69
PF/C,DeMarcus Cousins (11735253),DeMarcus Cousins,11735253,PF/C/F/UTIL,6000,GS@DET 12/01/2018 07:00PM ET,GS,0
C,Willie Cauley-Stein (11735248),Willie Cauley-Stein,11735248,C/UTIL,6000,IND@SAC 12/01/2018 10:00PM ET,SAC,30.93
PG/SG,Derrick Rose (11735262),Derrick Rose,11735262,PG/SG/G/UTIL,5900,BOS@MIN 12/01/2018 08:00PM ET,MIN,31.2
C,Myles Turner (11735260),Myles Turner,11735260,C/UTIL,5900,IND@SAC 12/01/2018 10:00PM ET,IND,26.19
PF/C,Serge Ibaka (11735266),Serge Ibaka,11735266,PF/C/F/UTIL,5800,TOR@CLE 12/01/2018 08:00PM ET,TOR,31.57
C,Tristan Thompson (11735272),Tristan Thompson,11735272,C/UTIL,5800,TOR@CLE 12/01/2018 08:00PM ET,CLE,30.37
C,Dwight Howard (11735270),Dwight Howard,11735270,C/UTIL,5800,BKN@WAS 12/01/2018 07:00PM ET,WAS,27.03
PF/C,Markieff Morris (11735274),Markieff Morris,11735274,PF/C/F/UTIL,5700,BKN@WAS 12/01/2018 07:00PM ET,WAS,23.04
SG/SF,Buddy Hield (11735278),Buddy Hield,11735278,SG/SF/F/G/UTIL,5700,IND@SAC 12/01/2018 10:00PM ET,SAC,31.34
PG,Collin Sexton (11735295),Collin Sexton,11735295,PG/G/UTIL,5600,TOR@CLE 12/01/2018 08:00PM ET,CLE,23.23
SF/PF,Otto Porter Jr. (11735298),Otto Porter Jr.,11735298,SF/PF/F/UTIL,5600,BKN@WAS 12/01/2018 07:00PM ET,WAS,25.76
PG/SG,Reggie Jackson (11735302),Reggie Jackson,11735302,PG/SG/G/UTIL,5600,GS@DET 12/01/2018 07:00PM ET,DET,27.18
SG/SF,Justin Holiday (11735286),Justin Holiday,11735286,SG/SF/F/G/UTIL,5600,CHI@HOU 12/01/2018 08:00PM ET,CHI,27.85
PG/SG,Kris Dunn (11735291),Kris Dunn,11735291,PG/SG/G/UTIL,5600,CHI@HOU 12/01/2018 08:00PM ET,CHI,23
PF,Marvin Bagley III (11735283),Marvin Bagley III,11735283,PF/F/UTIL,5600,IND@SAC 12/01/2018 10:00PM ET,SAC,25.61
PF/C,Larry Nance Jr. (11735319),Larry Nance Jr.,11735319,PF/C/F/UTIL,5500,TOR@CLE 12/01/2018 08:00PM ET,CLE,23.01
PF/C,Rondae Hollis-Jefferson (11735311),Rondae Hollis-Jefferson,11735311,PF/C/F/UTIL,5500,BKN@WAS 12/01/2018 07:00PM ET,BKN,21.43
SF/PF,Marcus Morris (11735315),Marcus Morris,11735315,SF/PF/F/UTIL,5500,BOS@MIN 12/01/2018 08:00PM ET,BOS,25.84
SG/SF,Bogdan Bogdanovic (11735306),Bogdan Bogdanovic,11735306,SG/SF/F/G/UTIL,5500,IND@SAC 12/01/2018 10:00PM ET,SAC,24.92
C,Jarrett Allen (11735326),Jarrett Allen,11735326,C/UTIL,5400,BKN@WAS 12/01/2018 07:00PM ET,BKN,30.18
SG/SF,Andrew Wiggins (11735328),Andrew Wiggins,11735328,SG/SF/F/G/UTIL,5400,BOS@MIN 12/01/2018 08:00PM ET,MIN,27.17
PG,Darren Collison (11735323),Darren Collison,11735323,PG/G/UTIL,5400,IND@SAC 12/01/2018 10:00PM ET,IND,22.19
SG/SF,Gordon Hayward (11735333),Gordon Hayward,11735333,SG/SF/F/G/UTIL,5300,BOS@MIN 12/01/2018 08:00PM ET,BOS,24.64
SG/SF,Bojan Bogdanovic (11735338),Bojan Bogdanovic,11735338,SG/SF/F/G/UTIL,5200,IND@SAC 12/01/2018 10:00PM ET,IND,24.06
PG/SG,Jordan Clarkson (11735343),Jordan Clarkson,11735343,PG/SG/G/UTIL,5100,TOR@CLE 12/01/2018 08:00PM ET,CLE,24.14
PF/C,Bobby Portis (11735347),Bobby Portis,11735347,PF/C/F/UTIL,5000,CHI@HOU 12/01/2018 08:00PM ET,CHI,29.12
PF,Lauri Markkanen (11735356),Lauri Markkanen,11735356,PF/F/UTIL,5000,CHI@HOU 12/01/2018 08:00PM ET,CHI,0
SG/SF,Tyreke Evans (11735351),Tyreke Evans,11735351,SG/SF/F/G/UTIL,5000,IND@SAC 12/01/2018 10:00PM ET,IND,21.01
SF,Cedi Osman (11735359),Cedi Osman,11735359,SF/F/UTIL,4900,TOR@CLE 12/01/2018 08:00PM ET,CLE,23.63
C,Jonas Valanciunas (11735362),Jonas Valanciunas,11735362,C/UTIL,4800,TOR@CLE 12/01/2018 08:00PM ET,TOR,26.14
SF/PF,Thaddeus Young (11735364),Thaddeus Young,11735364,SF/PF/F/UTIL,4700,IND@SAC 12/01/2018 10:00PM ET,IND,21.57
SG/SF,Rodney Hood (11735368),Rodney Hood,11735368,SG/SF/F/G/UTIL,4600,TOR@CLE 12/01/2018 08:00PM ET,CLE,21.5
C,Wendell Carter Jr. (11735373),Wendell Carter Jr.,11735373,C/UTIL,4600,CHI@HOU 12/01/2018 08:00PM ET,CHI,27.68
SG/SF,Danny Green (11735375),Danny Green,11735375,SG/SF/F/G/UTIL,4500,TOR@CLE 12/01/2018 08:00PM ET,TOR,20.61
SG/SF,Kelly Oubre Jr. (11735388),Kelly Oubre Jr.,11735388,SG/SF/F/G/UTIL,4500,BKN@WAS 12/01/2018 07:00PM ET,WAS,21.88
SG/SF,Jaylen Brown (11735383),Jaylen Brown,11735383,SG/SF/F/G/UTIL,4500,BOS@MIN 12/01/2018 08:00PM ET,BOS,20.37
PF,Dario Saric (11735393),Dario Saric,11735393,PF/F/UTIL,4500,BOS@MIN 12/01/2018 08:00PM ET,MIN,22.69
PG,Ryan Arcidiacono (11735380),Ryan Arcidiacono,11735380,PG/G/UTIL,4500,CHI@HOU 12/01/2018 08:00PM ET,CHI,20.06
PG/SG,Fred VanVleet (11735399),Fred VanVleet,11735399,PG/SG/G/UTIL,4400,TOR@CLE 12/01/2018 08:00PM ET,TOR,20.57
PG,Cory Joseph (11735396),Cory Joseph,11735396,PG/G/UTIL,4400,IND@SAC 12/01/2018 10:00PM ET,IND,20.27
PF/C,Taj Gibson (11735407),Taj Gibson,11735407,PF/C/F/UTIL,4300,BOS@MIN 12/01/2018 08:00PM ET,MIN,24.57
SF/PF,P.J. Tucker (11735403),P.J. Tucker,11735403,SF/PF/F/UTIL,4300,CHI@HOU 12/01/2018 08:00PM ET,HOU,21.54
PG/SG,Marcus Smart (11735411),Marcus Smart,11735411,PG/SG/G/UTIL,4200,BOS@MIN 12/01/2018 08:00PM ET,BOS,19.78
PG/SG,Terry Rozier (11735419),Terry Rozier,11735419,PG/SG/G/UTIL,4100,BOS@MIN 12/01/2018 08:00PM ET,BOS,18.18
SF/PF,Jonas Jerebko (11735415),Jonas Jerebko,11735415,SF/PF/F/UTIL,4100,GS@DET 12/01/2018 07:00PM ET,GS,17.91
SG/SF,Joe Harris (11735423),Joe Harris,11735423,SG/SF/F/G/UTIL,4000,BKN@WAS 12/01/2018 07:00PM ET,BKN,22.34
SF/PF,Stanley Johnson (11735428),Stanley Johnson,11735428,SF/PF/F/UTIL,4000,GS@DET 12/01/2018 07:00PM ET,DET,19.38
PG,Quinn Cook (11735432),Quinn Cook,11735432,PG/G/UTIL,4000,GS@DET 12/01/2018 07:00PM ET,GS,18.76
SF/PF,Sam Dekker (11735435),Sam Dekker,11735435,SF/PF/F/UTIL,3900,TOR@CLE 12/01/2018 08:00PM ET,CLE,14.86
SF/PF,Jeff Green (11735439),Jeff Green,11735439,SF/PF/F/UTIL,3900,BKN@WAS 12/01/2018 07:00PM ET,WAS,20.53
SF/PF,Nemanja Bjelica (11735443),Nemanja Bjelica,11735443,SF/PF/F/UTIL,3900,IND@SAC 12/01/2018 10:00PM ET,SAC,24.89
PG/SG,George Hill (11735447),George Hill,11735447,PG/SG/G/UTIL,3800,TOR@CLE 12/01/2018 08:00PM ET,CLE,21.48
SG/SF,Reggie Bullock (11735456),Reggie Bullock,11735456,SG/SF/F/G/UTIL,3800,GS@DET 12/01/2018 07:00PM ET,DET,19.42
SG/SF,James Ennis III (11735451),James Ennis III,11735451,SG/SF/F/G/UTIL,3800,CHI@HOU 12/01/2018 08:00PM ET,HOU,15.40
SG/SF,David Nwaba (11735466),David Nwaba,11735466,SG/SF/F/G/UTIL,3700,TOR@CLE 12/01/2018 08:00PM ET,CLE,12.79
SG/SF,Allen Crabbe (11735471),Allen Crabbe,11735471,SG/SF/F/G/UTIL,3700,BKN@WAS 12/01/2018 07:00PM ET,BKN,15.48
SG/SF,Andre Iguodala (11735476),Andre Iguodala,11735476,SG/SF/F/G/UTIL,3700,GS@DET 12/01/2018 07:00PM ET,GS,15.62
PF/C,Kevon Looney (11735481),Kevon Looney,11735481,PF/C/F/UTIL,3700,GS@DET 12/01/2018 07:00PM ET,GS,16.85
SG/SF,Iman Shumpert (11735461),Iman Shumpert,11735461,SG/SF/F/G/UTIL,3700,IND@SAC 12/01/2018 10:00PM ET,SAC,19.75
PG,Ish Smith (11735485),Ish Smith,11735485,PG/G/UTIL,3600,GS@DET 12/01/2018 07:00PM ET,DET,18.88
PG,Aaron Holiday (11735488),Aaron Holiday,11735488,PG/G/UTIL,3600,IND@SAC 12/01/2018 10:00PM ET,IND,11.73
SG/SF,Alec Burks (11735491),Alec Burks,11735491,SG/SF/F/G/UTIL,3500,TOR@CLE 12/01/2018 08:00PM ET,CLE,14.43
PG/SG,Austin Rivers (11735496),Austin Rivers,11735496,PG/SG/G/UTIL,3500,BKN@WAS 12/01/2018 07:00PM ET,WAS,14.80
PG/SG,Langston Galloway (11735508),Langston Galloway,11735508,PG/SG/G/UTIL,3500,GS@DET 12/01/2018 07:00PM ET,DET,15.99
SF/PF,Carmelo Anthony (11735500),Carmelo Anthony,11735500,SF/PF/F/UTIL,3500,CHI@HOU 12/01/2018 08:00PM ET,HOU,23.75
SF/PF,Doug McDermott (11735504),Doug McDermott,11735504,SF/PF/F/UTIL,3500,IND@SAC 12/01/2018 10:00PM ET,IND,11.54
PG/SG,Delon Wright (11735517),Delon Wright,11735517,PG/SG/G/UTIL,3400,TOR@CLE 12/01/2018 08:00PM ET,TOR,12.64
